season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1993-10-24,Milan,Juventus,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Napoli,Lecce,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Parma,Reggiana,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Roma,Lazio,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Torino,Sampdoria,2,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Udinese,Inter,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Cagliari,Torino,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Foggia,Cremonese,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Inter,Parma,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Juventus,Genoa,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Lazio,Udinese,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Lecce,Atalanta,5,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Piacenza,Napoli,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Reggiana,Roma,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-31,Sampdoria,Milan,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Atalanta,Piacenza,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Cremonese,Lecce,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Inter,Milan,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-07-11,Napoli,Lazio,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
